id,star_annotation,gene_id,drug_id,allele,phenotype,reference_id,P-value,source,id_in_source,region,Country_of_Participants
STAR27,CYP2C9*6,PHARGENE25,DRUG27,*6,CYP2C9 *6 is not associated with increased response to acenocoumarol as compared to CYP2C9 *1.,REF155,,PharmGKB,981940169,Sub-Saharan African,Benin
STAR141,CYP2C9*1,PHARGENE25,DRUG27,*9/*11 + *5/*8,CYP2C9 *9/*11 + *5/*8 are associated with decreased metabolism of acenocoumarol in healthy individuals as compared to CYP2C9 *1/*1.,REF155,,PharmGKB,1444706610,Sub-Saharan African,Benin
STAR142,CYP2C9*11,PHARGENE25,DRUG27,*9/*11 + *5/*8,CYP2C9 *9/*11 + *5/*8 are associated with decreased metabolism of acenocoumarol in healthy individuals as compared to CYP2C9 *1/*1.,REF155,,PharmGKB,1444706610,Sub-Saharan African,Benin
STAR143,CYP2C9*5,PHARGENE25,DRUG27,*9/*11 + *5/*8,CYP2C9 *9/*11 + *5/*8 are associated with decreased metabolism of acenocoumarol in healthy individuals as compared to CYP2C9 *1/*1.,REF155,,PharmGKB,1444706610,Sub-Saharan African,Benin
STAR144,CYP2C9*8,PHARGENE25,DRUG27,*9/*11 + *5/*8,CYP2C9 *9/*11 + *5/*8 are associated with decreased metabolism of acenocoumarol in healthy individuals as compared to CYP2C9 *1/*1.,REF155,,PharmGKB,1444706610,Sub-Saharan African,Benin
STAR145,CYP2C9*9,PHARGENE25,DRUG27,*9/*11 + *5/*8,CYP2C9 *9/*11 + *5/*8 are associated with decreased metabolism of acenocoumarol in healthy individuals as compared to CYP2C9 *1/*1.,REF155,,PharmGKB,1444706610,Sub-Saharan African,Benin
STAR210,CYP2C9*1,PHARGENE25,DRUG27,*1/*2,CYP2C9 *1/*2 is not associated with dose of acenocoumarol.,REF35,0.904,PharmGKB,982010090,North African,Morocco
STAR211,CYP2C9*2,PHARGENE25,DRUG27,*1/*2,CYP2C9 *1/*2 is not associated with dose of acenocoumarol.,REF35,0.904,PharmGKB,982010090,North African,Morocco
STAR212,CYP2C9*1,PHARGENE25,DRUG27,*1/*1,CYP2C9 *1/*1 is associated with increased dose of acenocoumarol.,REF35,0.0011,PharmGKB,982010010,North African,Morocco
STAR213,CYP2C9*1,PHARGENE25,DRUG27,*1/*1,CYP2C9 *1/*1 is associated with increased dose of acenocoumarol.,REF35,0.0023,PharmGKB,982010082,North African,Morocco
STAR214,CYP2C9*1,PHARGENE25,DRUG27,*1/*3,CYP2C9 *1/*3 is not associated with dose of acenocoumarol.,REF35,0.904,PharmGKB,982010097,North African,Morocco
STAR215,CYP2C9*3,PHARGENE25,DRUG27,*1/*3,CYP2C9 *1/*3 is not associated with dose of acenocoumarol.,REF35,0.904,PharmGKB,982010097,North African,Morocco
STAR222,CYP2C9*1,PHARGENE25,DRUG27,*3,"CYP2C9 *3 is associated with decreased dose of acenocoumarol in people with Atrial Fibrillation, Atrial Flutter or Venous Thrombosis as compared to CYP2C9 *1.",REF13,< 0.0001,PharmGKB,1449188274,North African,Tunisia
STAR223,CYP2C9*3,PHARGENE25,DRUG27,*3,"CYP2C9 *3 is associated with decreased dose of acenocoumarol in people with Atrial Fibrillation, Atrial Flutter or Venous Thrombosis as compared to CYP2C9 *1.",REF13,< 0.0001,PharmGKB,1449188274,North African,Tunisia
STAR224,CYP2C9*1,PHARGENE25,DRUG27,*2,CYP2C9 *2 is associated with decreased dose of acenocoumarol in people with Atrial Fibrillation as compared to CYP2C9 *1.,REF13,0.004,PharmGKB,1449188252,North African,Tunisia
STAR225,CYP2C9*2,PHARGENE25,DRUG27,*2,CYP2C9 *2 is associated with decreased dose of acenocoumarol in people with Atrial Fibrillation as compared to CYP2C9 *1.,REF13,0.004,PharmGKB,1449188252,North African,Tunisia
STAR28,CYP2C9*1,PHARGENE25,DRUG28,*1/*8,CYP2C9 *1/*8 is not associated with decreased metabolism of losartan in healthy individuals as compared to CYP2C9 *1/*1.,REF144,0.01,PharmGKB,1134736215,Sub-Saharan African,Benin
STAR29,CYP2C9*8,PHARGENE25,DRUG28,*1/*8,CYP2C9 *1/*8 is not associated with decreased metabolism of losartan in healthy individuals as compared to CYP2C9 *1/*1.,REF144,0.01,PharmGKB,1134736215,Sub-Saharan African,Benin
STAR30,CYP2C9*1,PHARGENE25,DRUG28,*1/*6,CYP2C9 *1/*6 is associated with decreased metabolism of losartan in healthy individuals as compared to CYP2C9 *1/*1.,REF144,0.01,PharmGKB,1134049001,Sub-Saharan African,Benin
